## begin version 0.98 source file header             
## generated at 26## from output of MCNPX case mctal_IRP_physics10a, described as:   
## mcnpx      2.6.0  09/21/11 10:43:13   26   50000000  3508970273895
##  Optimization for a box coupled para-H moderator                                
## Pulse shapes are as calculated with point detector tally for moderator
## 
## headerend
##
## section 1 key
## output reported is for 10x12 viewed area.       
## normalized to  2.0807e+14 p/pulse and  1.000 GeV
## Energy given is center of the bin in a logarithmic
## sense, and wavelength is for that energy.         
## There are 141 points.
## 
##  Energy     Wavelength      Flux      Std. Error      Flux      Std. Error  
##    E             l          f(E)         s(E)         f(l)         s(l)
##    eV        Angstroms       n/sterad/pulse/eV         n/sterad/pulse/Angstrom  
##
  1.0000e-05   9.0441e+01   9.7458e+10   7.4370e+10   2.1552e+04   1.6446e+04
  1.1220e-05   8.5382e+01   4.2487e+07   2.1326e+07   1.1167e+01   5.6049e+00
  1.2589e-05   8.0606e+01   3.6603e+05   1.8307e+05   1.1433e-01   5.7185e-02
  1.4125e-05   7.6097e+01   1.5304e+06   7.5057e+05   5.6814e-01   2.7865e-01
  1.5849e-05   7.1840e+01   7.8694e+05   3.9640e+05   3.4722e-01   1.7491e-01
  1.7783e-05   6.7821e+01   2.9360e+06   1.5114e+06   1.5397e+00   7.9256e-01
  1.9953e-05   6.4027e+01   3.0308e+10   1.6253e+10   1.8890e+04   1.0130e+04
  2.2387e-05   6.0446e+01   7.0862e+10   3.7412e+10   5.2490e+04   2.7713e+04
  2.5119e-05   5.7064e+01   1.1926e+06   6.5206e+05   1.0499e+00   5.7405e-01
  2.8184e-05   5.3872e+01   4.5293e+10   2.6575e+10   4.7391e+04   2.7806e+04
  3.1623e-05   5.0859e+01   6.8542e+10   3.7515e+10   8.5236e+04   4.6652e+04
  3.5481e-05   4.8014e+01   8.5533e+10   4.7161e+10   1.2641e+05   6.9702e+04
  3.9811e-05   4.5328e+01   1.1127e+11   6.5330e+10   1.9544e+05   1.1476e+05
  4.4668e-05   4.2792e+01   1.2076e+11   7.3636e+10   2.5211e+05   1.5373e+05
  5.0119e-05   4.0399e+01   9.5950e+10   5.9320e+10   2.3807e+05   1.4719e+05
  5.6234e-05   3.8139e+01   7.5899e+10   4.4417e+10   2.2382e+05   1.3098e+05
  6.3096e-05   3.6005e+01   1.1804e+11   7.1955e+10   4.1371e+05   2.5219e+05
  7.0795e-05   3.3991e+01   1.7587e+11   1.0453e+11   7.3258e+05   4.3542e+05
  7.9433e-05   3.2090e+01   1.1822e+11   7.2888e+10   5.8527e+05   3.6085e+05
  8.9125e-05   3.0295e+01   1.6588e+11   1.0375e+11   9.7600e+05   6.1045e+05
  1.0000e-04   2.8600e+01   1.7519e+11   1.0468e+11   1.2251e+06   7.3205e+05
  1.1220e-04   2.7000e+01   2.7737e+11   1.7500e+11   2.3053e+06   1.4544e+06
  1.2589e-04   2.5490e+01   2.9624e+11   1.7794e+11   2.9262e+06   1.7576e+06
  1.4125e-04   2.4064e+01   2.5525e+11   1.5992e+11   2.9966e+06   1.8774e+06
  1.5849e-04   2.2718e+01   2.6618e+11   1.6296e+11   3.7140e+06   2.2737e+06
  1.7783e-04   2.1447e+01   3.9996e+11   2.4357e+11   6.6326e+06   4.0391e+06
  1.9953e-04   2.0247e+01   4.1421e+11   2.5068e+11   8.1636e+06   4.9406e+06
  2.2387e-04   1.9115e+01   4.4204e+11   2.7187e+11   1.0354e+07   6.3684e+06
  2.5119e-04   1.8045e+01   4.9589e+11   3.0393e+11   1.3805e+07   8.4613e+06
  2.8184e-04   1.7036e+01   5.6397e+11   3.2837e+11   1.8660e+07   1.0865e+07
  3.1623e-04   1.6083e+01   7.3674e+11   4.2388e+11   2.8972e+07   1.6669e+07
  3.5481e-04   1.5183e+01   8.1976e+11   4.5680e+11   3.8313e+07   2.1350e+07
  3.9811e-04   1.4334e+01   9.0638e+11   4.9350e+11   5.0347e+07   2.7413e+07
  4.4668e-04   1.3532e+01   9.8374e+11   5.3401e+11   6.4945e+07   3.5255e+07
  5.0119e-04   1.2775e+01   1.0824e+12   5.9406e+11   8.4928e+07   4.6611e+07
  5.6234e-04   1.2061e+01   1.2854e+12   7.2649e+11   1.1987e+08   6.7748e+07
  6.3096e-04   1.1386e+01   1.4090e+12   8.3483e+11   1.5617e+08   9.2525e+07
  7.0795e-04   1.0749e+01   1.7257e+12   9.7310e+11   2.2731e+08   1.2818e+08
  7.9433e-04   1.0148e+01   1.8605e+12   1.0138e+12   2.9127e+08   1.5871e+08
  8.9125e-04   9.5800e+00   2.1446e+12   1.2537e+12   3.9904e+08   2.3327e+08
  1.0000e-03   9.0441e+00   2.4464e+12   1.2746e+12   5.4099e+08   2.8185e+08
  1.1220e-03   8.5382e+00   2.8935e+12   1.6167e+12   7.6047e+08   4.2491e+08
  1.2589e-03   8.0606e+00   3.0824e+12   1.7199e+12   9.6283e+08   5.3723e+08
  1.4125e-03   7.6097e+00   3.5059e+12   1.8672e+12   1.3016e+09   6.9320e+08
  1.5849e-03   7.1840e+00   4.0730e+12   2.0932e+12   1.7971e+09   9.2356e+08
  1.7783e-03   6.7821e+00   4.5024e+12   2.3847e+12   2.3611e+09   1.2506e+09
  1.9953e-03   6.4027e+00   5.0728e+12   2.5179e+12   3.1616e+09   1.5693e+09
  2.2387e-03   6.0446e+00   5.6450e+12   2.8292e+12   4.1814e+09   2.0957e+09
  2.5119e-03   5.7065e+00   6.4863e+12   3.1388e+12   5.7103e+09   2.7633e+09
  2.8184e-03   5.3872e+00   7.2392e+12   3.4771e+12   7.5745e+09   3.6382e+09
